Year,Month,Day,Y
2016,3,8,168.250946
2016,3,9,168.726242
2016,3,10,168.726242
2016,3,11,168.250946
2016,3,14,168.726242
2016,3,15,167.775665
2016,3,16,169.201523
2016,3,17,169.201523
2016,3,18,168.726242
2016,3,21,169.676804
2016,3,22,172.053238
2016,3,23,169.676804
2016,3,24,167.300385
2016,3,25,162.07225
2016,3,28,155.893539
2016,3,29,157.794678
2016,3,30,162.547531
2016,3,31,159.220535
2016,4,1,156.36882
2016,4,6,152.091248
2016,4,7,146.387833
2016,4,8,139.733841
2016,4,11,141.634979
2016,4,12,135.456268
2016,4,13,138.783264
2016,4,14,143.060837
2016,4,15,143.060837
2016,4,18,141.159698
2016,4,19,137.832703
2016,4,20,129.752853
2016,4,21,128.326996
2016,4,22,134.980988
2016,4,25,140.684402
2016,4,26,141.634979
2016,4,27,141.634979
2016,4,28,140.684402
2016,4,29,142.11026
2016,5,3,141.159698
2016,5,4,138.307983
2016,5,5,137.832703
2016,5,6,131.178711
2016,5,9,134.980988
2016,5,10,133.079849
2016,5,11,132.604568
2016,5,12,127.376427
2016,5,13,134.030411
2016,5,16,133.079849
2016,5,17,134.030411
2016,5,18,133.079849
2016,5,19,129.752853
2016,5,20,131.178711
2016,5,23,141.634979
2016,5,24,142.11026
2016,5,25,144.486694
2016,5,26,151.140686
2016,5,27,151.140686
2016,5,30,151.140686
2016,5,31,152.091248
2016,6,1,149.239548
2016,6,2,143.536118
2016,6,3,147.338409
2016,6,4,null
2016,6,6,146.863113
2016,6,7,151.140686
2016,6,8,146.863113
2016,6,13,145.437256
2016,6,14,147.81369
2016,6,15,150.665405
2016,6,16,146.863113
2016,6,17,146.863113
2016,6,20,147.81369
2016,6,21,151.140686
2016,6,22,152.091248
2016,6,23,149.239548
2016,6,24,143.060837
2016,6,27,141.634979
2016,6,28,143.536118
2016,6,29,143.536118
2016,6,30,144.961975
2016,7,1,143.536118
2016,7,4,144.011414
2016,7,5,144.011414
2016,7,6,139.25856
2016,7,7,139.733841
2016,7,8,139.733841
2016,7,11,143.060837
2016,7,12,147.81369
2016,7,13,149.714828
2016,7,14,148.764252
2016,7,15,150.665405
2016,7,18,151.140686
2016,7,19,151.615967
2016,7,20,148.764252
2016,7,21,151.140686
2016,7,22,150.190109
2016,7,25,154.467682
2016,7,26,164.92395
2016,7,27,164.448669
2016,7,28,163.973389
2016,7,29,166.349808
2016,8,1,171.102661
2016,8,2,168.726242
2016,8,3,171.577942
2016,8,4,188.688217
2016,8,5,187.26236
2016,8,8,186.787079
2016,8,9,175.380234
2016,8,10,181.083649
2016,8,11,182.509506
2016,8,12,192.015213
2016,8,15,189.163498
2016,8,16,191.539917
2016,8,17,188.212921
2016,8,18,192.965775
2016,8,19,190.589355
2016,8,22,192.015213
2016,8,23,194.391632
2016,8,24,193.916351
2016,8,25,194.391632
2016,8,26,195.342209
2016,8,29,198.669205
2016,8,30,215.779465
2016,8,31,217.205322
2016,9,1,217.205322
2016,9,2,217.205322
2016,9,5,231.939163
2016,9,6,232.414444
2016,9,7,238.593155
2016,9,8,241.920151
2016,9,9,246.197723
2016,9,10,null
2016,9,12,235.74144
2016,9,13,237.167297
2016,9,14,240.969574
2016,9,19,253.326996
2016,9,20,252.376419
2016,9,21,248.574142
2016,9,22,255.703415
2016,9,23,254.277573
2016,9,26,255.228134
2016,9,27,255.228134
2016,9,28,255.228134
2016,9,29,259.030426
2016,9,30,257.604553
2016,10,3,265.209137
2016,10,4,264.733826
2016,10,5,260.931549
2016,10,6,259.505707
2016,10,7,267.11026
2016,10,11,264.733826
2016,10,12,261.40683
2016,10,13,237.167297
2016,10,14,242.395432
2016,10,17,239.068436
2016,10,18,238.593155
2016,10,19,240.969574
2016,10,20,239.543732
2016,10,21,244.29657
2016,10,24,246.197723
2016,10,25,246.197723
2016,10,26,245.247147
2016,10,27,244.29657
2016,10,28,235.74144
2016,10,31,234.315582
2016,11,1,235.266159
2016,11,2,221.482895
2016,11,3,208.650192
2016,11,4,223.384033
2016,11,7,225.760452
2016,11,8,225.285172
2016,11,9,211.977188
2016,11,10,228.136887
2016,11,11,219.581757
2016,11,14,222.433456
2016,11,15,224.809891
2016,11,16,224.334595
2016,11,17,230.038025
2016,11,18,247.148285
2016,11,21,253.802277
2016,11,22,251.901138
2016,11,23,253.802277
2016,11,24,250
2016,11,25,250
2016,11,28,243.346008
2016,11,29,247.623581
2016,11,30,250
2016,12,1,246.673004
2016,12,2,242.870728
2016,12,5,246.197723
2016,12,6,249.524719
2016,12,7,247.148285
2016,12,8,250
2016,12,9,254.277573
2016,12,12,247.623581
2016,12,13,252.376419
2016,12,14,256.178711
2016,12,15,252.376419
2016,12,16,251.901138
2016,12,19,237.167297
2016,12,20,233.365021
2016,12,21,240.019012
2016,12,22,236.692017
2016,12,23,237.642578
2016,12,26,237.642578
2016,12,27,236.216736
2016,12,28,249.049423
2016,12,29,253.802277
2016,12,30,256.653992
2017,1,3,261.40683
2017,1,4,258.555145
2017,1,5,284.22052
2017,1,6,289.92395
2017,1,9,280.893524
